,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2014,48,CLE,NFL,16,7,9,0,0.438,-3.9,-4.8,0.9,,,,,4.0,4,2,
1,2015,49,CLE,NFL,16,3,13,0,0.188,-6.1,-3.2,-2.9,,,,,4.0,8,3,
2,2 yrs,2 yrs,,,32,10,22,0,0.313,,,,0.0,0.0,0.0,,4.0,12,5,
