,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1925,28,MIL,NFL,6,0,6,0,0.0,-24.0,-3.8,-20.2,,,,,16.0,
1,1926,29,MIL,NFL,9,2,7,0,0.222,-1.7,-2.8,1.1,,,,,15.0,
2,2 yrs,2 yrs,,,15,2,13,0,0.133,,,,0.0,0.0,0.0,,15.5,
