,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1965,42,HOU,AFL,14,4,10,0,0.286,-8.2,1.2,-9.4,,,,,4.0,
1,1 yr,1 yr,,,14,4,10,0,0.286,,,,0.0,0.0,0.0,,4.0,
