,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1943,35,CRD,NFL,10,0,10,0,0.0,-10.4,-9.1,-1.4,,,,,4.0,
1,1944,36,CRD,NFL,10,0,10,0,0.0,-17.9,-5.5,-12.3,,,,,5.0,co-coach with Walt Kiesling
2,1945,37,CRD,NFL,10,1,9,0,0.1,-8.2,-7.0,-1.2,,,,,5.0,
3,1949,41,CRD,NFL,6,2,4,0,0.333,4.7,7.8,-3.1,,,,,3.0,co-coach with Buddy Parker
4,1951,43,CRD,NFL,2,1,1,0,0.5,-3.9,-1.9,-1.9,,,,,6.0,co-coach with Cecil Isbell
5,5 yrs,5 yrs,,,38,4,34,0,0.105,,,,0.0,0.0,0.0,,4.6,
