,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2021,57,JAX,NFL,13,2,11,0,0.154,-11.4,-7.7,-3.7,,,,,4.0,4,2,
1,1 yr,1 yr,,,13,2,11,0,0.154,,,,,,,,4.0,4,2,
