,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1932,38,SIS,NFL,12,2,7,3,0.222,-7.3,-1.1,-6.2,,,,,8.0,
1,1 yr,1 yr,,,12,2,7,3,0.222,,,,0.0,0.0,0.0,,8.0,
