,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1922,33,COL,NFL,8,0,8,0,0.0,-11.5,-3.2,-8.3,,,,,15.0,
1,1 yr,1 yr,,,8,0,8,0,0.0,,,,0.0,0.0,0.0,,15.0,
