,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1933,28,PIT,NFL,11,3,6,2,0.333,-13.1,-3.1,-10.0,,,,,5.0,
1,1 yr,1 yr,,,11,3,6,2,0.333,,,,0.0,0.0,0.0,,5.0,
