,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1946,36,BDA,AAFC,7,1,6,0,0.143,-7.1,-3.0,-4.1,,,,,2.0,
1,1947,37,BDA,AAFC,14,3,10,1,0.231,-9.9,-8.0,-1.9,,,,,3.0,
2,2 yrs,2 yrs,,,21,4,16,1,0.2,,,,0.0,0.0,0.0,,2.5,
