,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1930,50,CHI,NFL,14,9,4,1,0.692,7.8,0.9,6.9,,,,,3.0,
1,1931,51,CHI,NFL,13,8,5,0,0.615,5.6,1.1,4.5,,,,,3.0,
2,1932,52,CHI,NFL,14,7,1,6,0.875,7.8,2.7,5.1,,,,,1.0,NFL Champions
3,3 yrs,3 yrs,,,41,24,10,7,0.706,,,,0.0,0.0,0.0,,2.3,
