,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1955,49,CRD,NFL,12,4,7,1,0.364,1.2,-0.7,2.0,,,,,4.0,
1,1956,50,CRD,NFL,12,7,5,0,0.583,3.4,-0.1,3.5,,,,,2.0,
2,1957,51,CRD,NFL,12,3,9,0,0.25,-7.6,-1.1,-6.4,,,,,6.0,
3,3 yrs,3 yrs,,,36,14,21,1,0.4,,,,0.0,0.0,0.0,,4.0,
