,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Won,Num,Notes,id
16,1986,56,MIA,NFL,16,8,8,0,0.5,0.5,6.2,-5.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
17,1987,57,MIA,NFL,15,8,7,0,0.533,2.1,3.2,-1.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
18,1988,58,MIA,NFL,16,6,10,0,0.375,-2.8,1.0,-3.9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,ShulDo0
19,1989,59,MIA,NFL,16,8,8,0,0.5,-4.8,-0.6,-4.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
20,1990,60,MIA,NFL,16,12,4,0,0.75,4.7,0.5,4.2,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0,ShulDo0
21,1991,61,MIA,NFL,16,8,8,0,0.5,-4.1,0.7,-4.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
22,1992,62,MIA,NFL,16,11,5,0,0.688,1.5,2.1,-0.6,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,ShulDo0
23,1993,63,MIA,NFL,16,9,7,0,0.563,-0.5,3.9,-4.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ShulDo0
24,1994,64,MIA,NFL,16,10,6,0,0.625,4.2,4.5,-0.3,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,ShulDo0
25,1995,65,MIA,NFL,16,9,7,0,0.563,2.7,3.1,-0.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0,ShulDo0
26,1991,39,CLE,NFL,16,6,10,0,0.375,-0.4,-0.7,0.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BeliBi0
27,1992,40,CLE,NFL,16,7,9,0,0.438,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BeliBi0
28,1993,41,CLE,NFL,16,7,9,0,0.438,-1.2,-0.6,-0.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BeliBi0
29,1994,42,CLE,NFL,16,11,5,0,0.688,7.3,1.2,6.1,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0,BeliBi0
30,1995,43,CLE,NFL,16,5,11,0,0.313,-3.8,-3.2,-0.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,BeliBi0
31,2000,48,NWE,NFL,16,5,11,0,0.313,-2.5,-2.7,0.2,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0,BeliBi0
32,2001,49,NWE,NFL,16,11,5,0,0.688,4.3,1.2,3.1,3.0,3.0,0.0,1.0,1.0,3.0,6.0,Super Bowl Champions,BeliBi0
33,2002,50,NWE,NFL,16,9,7,0,0.563,4.0,2.1,1.9,0.0,0.0,0.0,0.0,2.0,5.0,9.0,0,BeliBi0
34,2003,51,NWE,NFL,16,14,2,0,0.875,6.9,2.1,4.9,3.0,3.0,0.0,1.0,1.0,1.0,8.0,Super Bowl Champions,BeliBi0
35,2004,52,NWE,NFL,16,14,2,0,0.875,12.8,6.4,6.5,3.0,3.0,0.0,1.0,1.0,5.0,8.0,Super Bowl Champions,BeliBi0
36,2005,53,NWE,NFL,16,10,6,0,0.625,3.1,3.7,-0.5,2.0,1.0,1.0,0.5,1.0,3.0,8.0,0,BeliBi0
37,2006,54,NWE,NFL,16,12,4,0,0.75,10.2,4.3,5.9,3.0,2.0,1.0,0.667,1.0,1.0,5.0,0,BeliBi0
38,2007,55,NWE,NFL,16,16,0,0,1.0,20.1,15.9,4.2,3.0,2.0,1.0,0.667,1.0,4.0,8.0,AFC Champions,BeliBi0
39,2008,56,NWE,NFL,16,11,5,0,0.688,3.9,2.3,1.6,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0,BeliBi0
