,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1930,25,NYG,NFL,2,2,0,0,1.0,11.7,7.8,3.9,,,,,2.0,co-coach with Steve Owen
1,1932,27,BKN,NFL,12,3,9,0,0.25,-6.2,-3.5,-2.7,,,,,6.0,
2,2 yrs,2 yrs,,,14,5,9,0,0.357,,,,0.0,0.0,0.0,,4.0,
3,1 yr,1 yr,BKN,,12,3,9,0,0.25,,,,0.0,0.0,0.0,,6.0,
4,1 yr,1 yr,NYG,,2,2,0,0,1.0,,,,0.0,0.0,0.0,,2.0,
