,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2000,49,ARI,NFL,9,1,8,0,0.111,-15.2,-7.2,-8.1,,,,,5.0,4,1,Coach starting week 9
1,2001,50,ARI,NFL,16,7,9,0,0.438,-4.2,-1.5,-2.6,,,,,4.0,7,2,
2,2002,51,ARI,NFL,16,5,11,0,0.313,-9.9,-5.4,-4.5,,,,,4.0,5,3,
3,2003,52,ARI,NFL,16,4,12,0,0.25,-12.6,-6.3,-6.2,,,,,4.0,6,2,
4,4 yrs,4 yrs,,,57,17,40,0,0.298,,,,0.0,0.0,0.0,,4.3,22,8,
