,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1921,25,RII,APFA,2,0,1,1,0.0,8.0,1.2,6.9,,,,,5.0,
1,1 yr,1 yr,,,2,0,1,1,0.0,,,,0.0,0.0,0.0,,5.0,
