,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2015,39,MIA,NFL,12,5,7,0,0.417,-6.8,-4.7,-2.2,,,,,4.0,3,3,Replaced Joe Philbin after Week 4
1,2021,45,DET,NFL,17,3,13,1,0.206,-7.8,-3.5,-4.3,,,,,4.0,4,1,
2,2022,46,DET,NFL,17,9,8,0,0.529,2.2,4.7,-2.4,,,,,2.0,4,2,
3,2023,47,DET,NFL,17,12,5,0,0.706,4.3,6.0,-1.8,3.0,2.0,1.0,0.667,1.0,4,0,
4,2024,48,DET,NFL,17,15,2,0,0.882,13.8,10.6,3.2,1.0,0.0,1.0,0.0,1.0,5,3,
5,2025,49,DET,NFL,17,9,8,0,0.529,3.9,5.2,-1.3,,,,,3.0,7,4,
6,6 yrs,6 yrs,,,97,53,43,1,0.552,,,,4.0,2.0,2.0,0.5,2.5,27,13,
7,5 yrs,5 yrs,DET,,85,48,36,1,0.571,,,,4.0,2.0,2.0,0.5,2.2,24,10,
8,1 yr,1 yr,MIA,,12,5,7,0,0.417,,,,,,,,4.0,3,3,
