,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1920,33,DET,APFA,8,2,3,3,0.4,-4.4,-5.3,0.9,,,,,9.0,
1,1921,34,DET,APFA,7,1,5,1,0.167,-4.2,-1.0,-3.2,,,,,16.0,
2,2 yrs,2 yrs,,,15,3,8,4,0.273,,,,0.0,0.0,0.0,,12.5,
3,1 yr,1 yr,DET,,8,2,3,3,0.4,,,,0.0,0.0,0.0,,9.0,
4,1 yr,1 yr,DET,,7,1,5,1,0.167,,,,0.0,0.0,0.0,,16.0,
