,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2010,51,MIN,NFL,6,3,3,0,0.5,-1.6,-3.3,1.7,,,,,4.0,4,1,Coach starting Week 12
1,2011,52,MIN,NFL,16,3,13,0,0.188,-5.7,-1.6,-4.1,,,,,4.0,7,5,
2,2012,53,MIN,NFL,16,10,6,0,0.625,3.4,1.6,1.8,1.0,0.0,1.0,0.0,2.0,3,2,
3,2013,54,MIN,NFL,16,5,10,1,0.344,-6.6,0.2,-6.9,,,,,4.0,1,1,
4,4 yrs,4 yrs,,,54,21,32,1,0.398,,,,1.0,0.0,1.0,0.0,3.5,15,9,
