,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1970,38,NOR,NFL,7,1,6,0,0.143,-7.9,-4.6,-3.3,,,,,4.0,
1,1971,39,NOR,NFL,14,4,8,2,0.333,-2.7,1.4,-4.1,,,,,4.0,
2,1972,40,NOR,NFL,14,2,11,1,0.179,-10.2,-5.3,-5.0,,,,,4.0,
3,3 yrs,3 yrs,,,35,7,25,3,0.227,,,,0.0,0.0,0.0,,4.0,
