,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2021,40,PHI,NFL,17,9,8,0,0.529,2.5,2.6,-0.1,1,0,1,0.0,2.0,7,5,
1,2022,41,PHI,NFL,17,14,3,0,0.824,6.5,5.8,0.7,3,2,1,0.667,1.0,3,1,NFC Champions
2,2023,42,PHI,NFL,17,11,6,0,0.647,-0.1,3.6,-3.7,1,0,1,0.0,2.0,2,1,
3,2024,43,PHI,NFL,17,14,3,0,0.824,7.7,3.0,4.7,4,4,0,1.0,1.0,4,3,Super Bowl Champions
4,2025,44,PHI,NFL,17,11,6,0,0.647,2.8,-1.8,4.5,1,0,1,0.0,1.0,3,1,
5,5 yrs,5 yrs,,,85,59,26,0,0.694,,,,10,6,4,0.6,1.4,19,11,
