,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2009,33,TAM,NFL,16,3,13,0,0.188,-5.6,-4.6,-1.1,,,,,4.0,9,3,
1,2010,34,TAM,NFL,16,10,6,0,0.625,-0.6,-1.0,0.4,,,,,3.0,7,3,
2,2011,35,TAM,NFL,16,4,12,0,0.25,-10.6,-4.0,-6.6,,,,,4.0,8,4,
3,2020,44,ATL,NFL,11,4,7,0,0.364,0.7,-0.1,0.8,,,,,4.0,4,1,
4,2024,48,ATL,NFL,17,8,9,0,0.471,-2.2,0.0,-2.2,,,,,2.0,5,1,
5,2025,49,ATL,NFL,17,8,9,0,0.471,-2.8,-2.0,-0.7,,,,,3.0,6,4,
6,6 yrs,6 yrs,,,93,37,56,0,0.398,,,,0.0,0.0,0.0,,3.3,39,16,
7,3 yrs,3 yrs,ATL,,45,20,25,0,0.444,,,,,,,,3.0,15,6,
8,3 yrs,3 yrs,TAM,,48,17,31,0,0.354,,,,0.0,0.0,0.0,,3.7,24,10,
