,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1990,50,PHO,NFL,16,5,11,0,0.313,-6.7,-1.9,-4.8,,,,,5.0,
1,1991,51,PHO,NFL,16,4,12,0,0.25,-5.4,-4.9,-0.5,,,,,5.0,
2,1992,52,PHO,NFL,16,4,12,0,0.25,-3.1,-2.9,-0.1,,,,,5.0,
3,1993,53,PHO,NFL,16,7,9,0,0.438,3.9,1.9,2.1,,,,,4.0,
4,1997,57,OAK,NFL,16,4,12,0,0.25,-5.1,-0.1,-5.0,,,,,4.0,
5,5 yrs,5 yrs,,,80,24,56,0,0.3,,,,0.0,0.0,0.0,,4.6,
6,4 yrs,4 yrs,PHO,,64,20,44,0,0.313,,,,0.0,0.0,0.0,,4.8,
7,1 yr,1 yr,OAK,,16,4,12,0,0.25,,,,0.0,0.0,0.0,,4.0,
