,id,name,to,poc
145,CampMa0,Marion Campbell,1989,False
146,GailCh0,Chan Gailey,2012,False
147,HughTo0,Tommy Hughitt,1924,False
148,NagyMa0,Matt Nagy,2021,False
149,OConKe0,Kevin O'Connell,2024,False
150,RalsJo0,John Ralston,1976,False
151,LynnAn0,Anthony Lynn,2020,True
152,MangEr0,Eric Mangini,2010,False
153,RaucDi0,Dick Rauch,1929,False
154,CrenRo0,Romeo Crennel,2020,True
155,GaseAd0,Adam Gase,2020,False
156,IvyxPo0,Pop Ivy,1963,False
157,SparTo0,Tony Sparano,2014,False
158,TiceMi0,Mike Tice,2005,False
159,DrisPa0,Paddy Driscoll,1957,False
160,MoraJi1,Jim Mora,2009,False
161,ArmsNe0,Neill Armstrong,1981,False
162,ClarDu0,Dutch Clark,1942,False
163,KiesWa0,Walt Kiesling,1956,False
164,MackJo0,John Mackovic,1986,False
165,McCoMi0,Mike McCormack,1982,False
166,MorrRa0,Raheem Morris,2024,True
167,SchwJi0,Jim Schwartz,2013,False
168,WebsAl0,Alex Webster,1973,False
169,KellCh0,Chip Kelly,2016,False
170,KingKl0,Kliff Kingsbury,2022,False
171,McCaDo0,Don McCafferty,1973,False
172,McDaMi0,Mike McDaniel,2024,True
173,SuthJo0,Jock Sutherland,1947,False
174,TobiVi0,Vince Tobin,2000,False
175,HickHo0,Red Hickey,1963,False
176,McCoMi1,Mike McCoy,2016,False
177,AlleDe0,Dennis Allen,2024,False
178,ChriJa0,Jack Christiansen,1967,False
179,DeGrDu0,Dudley DeGroot,1947,False
180,PhilJo0,Joe Philbin,2018,False
181,PoolHa0,Hampton Pool,1954,False
182,DeviDa0,Dan Devine,1974,False
183,TrimJi0,Jim Trimble,1955,False
184,BugeJo0,Joe Bugel,1997,False
185,DaviBu0,Butch Davis,2004,False
186,FlorBr0,Brian Flores,2021,True
187,JoneRa0,Ralph Jones,1932,False
188,StalBr0,Brandon Staley,2023,False
189,StraNo0,Red Strader,1955,False
190,AndeHu0,Hunk Anderson,1945,False
191,DaviAl0,Al Davis,1965,False
192,JohnLu0,Luke Johnsos,1945,False
193,StalGe0,Gene Stallings,1989,False
194,JoneJu0,June Jones,1998,False
195,MuncMi0,Mike Munchak,2013,False
196,WillGr0,Gregg Williams,2018,False
197,BachJo0,Joe Bach,1953,False
198,BengPh0,Phil Bengtson,1972,False
199,ErhaRo0,Ron Erhardt,1981,False
200,FrazLe0,Leslie Frazier,2013,True
201,McPeBi0,Bill McPeak,1965,False
202,SmitAr0,Arthur Smith,2023,False
203,SvarHa0,Harland Svare,1973,False
204,DoolJi0,Jim Dooley,1971,False
205,DoraGu0,Gus Dorais,1947,False
206,McDaJo0,Josh McDaniels,2023,False
207,MichJo0,John Michelosen,1951,False
208,RyanDe0,DeMeco Ryans,2024,True
209,SaleRo0,Robert Saleh,2024,True
210,StydJo0,Joe Stydahar,1954,False
211,AlbeFr0,Frankie Albert,1958,False
212,DawsRe0,Red Dawson,1949,False
213,FangVi0,Vic Fangio,2021,False
214,HaleTo0,Todd Haley,2011,False
215,KoetDi0,Dirk Koetter,2018,False
216,ShulDa0,David Shula,1996,False
217,ShurPa0,Pat Shurmur,2019,False
218,BaugSa0,Sammy Baugh,1964,False
219,CallBi0,Bill Callahan,2019,False
220,DaboBr0,Brian Daboll,2024,False
221,JohnBi0,Bill Johnson,1978,False
222,NolaMi0,Mike Nolan,2008,False
223,RogeDa0,Darryl Rogers,1988,False
224,SingMi0,Mike Singletary,2010,True
225,AustBi0,Bill Austin,1970,False
226,BlacLi0,Lisle Blackbourn,1957,False
227,CablTo0,Tom Cable,2010,False
228,GrahOt0,Otto Graham,1968,False
229,McGiDa0,Dave McGinnis,2003,False
230,SaunAl0,Al Saunders,1988,False
231,ScanDe0,Dewey Scanlon,1929,False
232,SteiSh0,Shane Steichen,2024,False
233,BarrNo0,Norm Barry,1926,False
234,CreiMi0,Milan Creighton,1938,False
235,CunnGu0,Gunther Cunningham,2000,False
236,EdwaTu0,Turk Edwards,1948,False
237,TobiEl0,Elgie Tobin,1921,False
238,CampDa0,Dave Campo,2002,False
239,ForzRi0,Rick Forzano,1976,False
240,PottEa0,Earl Potteiger,1928,False
241,SabaNi0,Nick Saban,2006,False
242,WalsAd0,Adam Walsh,1946,False
243,WeirEd0,Ed Weir,1928,False
244,WhitMi0,Mike White,1996,False
245,BerrPu0,Punk Berryman,1926,False
246,BradGu0,Gus Bradley,2016,False
247,EberMa0,Matt Eberflus,2024,False
248,HandRa0,Ray Handley,1992,False
249,McMiAl0,Bo McMillin,1951,False
250,McVaJo0,John McVay,1978,False
251,RichRa0,Ray Richards,1957,False
252,RileMi0,Mike Riley,2001,False
253,RonzGe0,Gene Ronzani,1953,False
254,RuetBa0,Babe Ruetz,1924,False
255,SchiPa0,Paul Schissler,1936,False
256,ShauCl0,Clark Shaughnessy,1949,False
257,ThorJi0,Jim Thorpe,1923,False
258,BehmBu0,Bull Behman,1931,False
259,BrooRi0,Rich Brooks,1996,False
260,CollJo0,Joe Collier,1968,False
261,EdwaCa0,Cap Edwards,1925,False
262,FearTo0,Tom Fears,1970,False
263,HorwAr0,Arnie Horween,1924,False
264,McAdBe0,Ben McAdoo,2017,False
265,PatrMa0,Matt Patricia,2020,False
266,PhelJi0,Jimmy Phelan,1952,False
267,TresMa0,Marc Trestman,2014,False
268,WrayLu0,Lud Wray,1935,False
269,DeplJa0,Jack Depler,1931,False
270,GannJo0,Jonathan Gannon,2024,False
271,LeBeDi0,Dick LeBeau,2002,False
272,NeveEr0,Ernie Nevers,1939,False
273,SpurSt0,Steve Spurrier,2003,False
274,UrseRu0,Rube Ursella,1925,False
275,ZornJi0,Jim Zorn,2009,False
276,CarsBu0,Bud Carson,1990,False
277,DietLo0,Lone Star Dietz,1934,False
278,GibrAb0,Abe Gibron,1974,False
279,HudsTo0,Tommy Hudspeth,1977,False
280,JackHu0,Hue Jackson,2018,True
281,JoseVa0,Vance Joseph,2018,True
282,KushFr0,Frank Kush,1984,False
283,LineSc0,Scott Linehan,2008,False
284,NortJo0,John North,1975,False
285,RamsGa0,Buster Ramsey,1961,False
286,RhulMa0,Matt Rhule,2022,False
287,RymkLo0,Lou Rymkus,1961,False
288,SchiGr0,Greg Schiano,2013,False
289,SpagSt0,Steve Spagnuolo,2017,False
290,WiggPa0,Paul Wiggin,1977,False
291,BellBe0,Bert Bell,1941,False
292,FalcGu0,Guil Falcon,1923,False
293,GilmHa0,Harry Gilmer,1966,False
294,IsbeCe0,Cecil Isbell,1951,False
295,JudgJo0,Joe Judge,2021,False
296,MacdMi0,Mike Macdonald,2024,False
297,MariRo0,Rod Marinelli,2008,False
298,PettMi0,Mike Pettine,2015,False
299,StepKa0,Kay Stephenson,1985,False
300,FaulJa0,Jack Faulkner,1964,False
301,GrohAl0,Al Groh,2000,False
302,MazuJo0,John Mazur,1972,False
303,McEwCa0,Cap McEwan,1934,False
304,PierAn0,Antonio Pierce,2024,True
305,TalbNe0,Nelson Talbot,1921,False
306,VittJo0,Joe Vitt,2012,False
307,WallCh0,Charlie Waller,1970,False
308,WateBo0,Bob Waterfield,1962,False
309,WilkBu0,Bud Wilkinson,1979,False
310,WilkSt0,Steve Wilks,2022,True
311,AlexDo0,Doc Alexander,1926,False
312,BileEd0,Ed Biles,1983,False
