,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2024,40,TEN,NFL,17,3,14,0,.176,-8.4,-4.7,-3.7,,,,,4,3,2,
2025,41,TEN,NFL,6,1,5,0,.167,-8.0,-4.1,-3.9,,,,,4,3,3,fired after week 6
2 yrs,2 yrs,,,23,4,19,0,.174,,,,,,,,4.0,6,5,
