,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2025,39,CHI,NFL,17,11,6,0,.647,0.5,2.6,-2.1,2,1,1,.500,1,3,2,
1 yr,1 yr,,,17,11,6,0,.647,,,,2,1,1,.500,1.0,3,2,
