,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2022,47,NYG,NFL,17,9,7,1,.559,-0.4,-0.8,0.4,2,1,1,.500,3,3,3,
2023,48,NYG,NFL,17,6,11,0,.353,-7.9,-6.9,-1.0,,,,,3,7,4,
2024,49,NYG,NFL,17,3,14,0,.176,-8.0,-7.5,-0.5,,,,,4,3,2,
2025,50,NYG,NFL,10,2,8,0,.200,-3.6,-0.6,-3.0,,,,,4,6,4,fired after week 10
4 yrs,4 yrs,,,61,20,40,1,.336,,,,2,1,1,.500,3.5,19,13,
