,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2021,40,PHI,NFL,17,9,8,0,.529,2.5,2.6,-0.1,1,0,1,.000,2,7,5,
2022,41,PHI,NFL,17,14,3,0,.824,6.5,5.8,0.7,3,2,1,.667,1,3,1,NFC Champions
2023,42,PHI,NFL,17,11,6,0,.647,-0.1,3.6,-3.7,1,0,1,.000,2,2,1,
2024,43,PHI,NFL,17,14,3,0,.824,7.7,3.0,4.7,4,4,0,1.000,1,4,3,Super Bowl Champions
2025,44,PHI,NFL,17,11,6,0,.647,2.8,-1.8,4.5,1,0,1,.000,1,3,1,
5 yrs,5 yrs,,,85,59,26,0,.694,,,,10,6,4,.600,1.4,19,11,
