,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2022,37,MIN,NFL,17,13,4,0,.765,-0.1,2.8,-2.9,1,0,1,.000,1,4,2,
2023,38,MIN,NFL,17,7,10,0,.412,-0.6,-1.6,1.0,,,,,3,7,4,
2024,39,MIN,NFL,17,14,3,0,.824,6.2,2.8,3.4,1,0,1,.000,2,10,6,
2025,40,MIN,NFL,17,9,8,0,.529,0.7,-3.4,4.2,,,,,3,4,2,
4 yrs,4 yrs,,,68,43,25,0,.632,,,,2,0,2,.000,2.3,25,14,
