,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2019,40,GNB,NFL,16,13,3,0,.813,3.2,0.6,2.6,2,1,1,.500,1,10,5,
2020,41,GNB,NFL,16,13,3,0,.813,7.7,5.9,1.8,2,1,1,.500,1,5,3,
2021,42,GNB,NFL,17,13,4,0,.765,4.4,3.5,1.0,1,0,1,.000,1,7,3,
2022,43,GNB,NFL,17,8,9,0,.471,0.3,-0.3,0.6,,,,,3,5,3,
2023,44,GNB,NFL,17,9,8,0,.529,1.2,0.9,0.2,2,1,1,.500,2,9,3,
2024,45,GNB,NFL,17,11,6,0,.647,8.1,4.9,3.2,1,0,1,.000,3,7,1,
2025,46,GNB,NFL,17,9,7,1,.559,1.0,-0.8,1.7,1,0,1,.000,2,10,6,
7 yrs,7 yrs,,,117,76,40,1,.654,,,,9,3,6,.333,1.9,53,24,
