,,,,,,,,,Simple Rating System,Simple Rating System,Simple Rating System,Playoffs,Playoffs,Playoffs,Playoffs,,Challenges,Challenges,
Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G,W,L,W-L%,Rank,Num,Won,Notes
2023,38,IND,NFL,17,9,8,0,.529,-1.3,2.4,-3.8,,,,,2,4,3,
2024,39,IND,NFL,17,8,9,0,.471,-3.7,-0.5,-3.2,,,,,2,2,0,
2025,40,IND,NFL,17,8,9,0,.471,5.0,5.9,-1.0,,,,,3,8,6,
3 yrs,3 yrs,,,51,25,26,0,.490,,,,,,,,2.3,14,9,
